epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.7247,1.74486,1.79979,3.69634,0.4403,0.56652,0.43814,0.14235,2.1397,2.1951,4.1982,0.052877,0.00248016,0.00248016
2,221.135,1.54564,1.22692,3.56219,0.63131,0.62232,0.66395,0.31162,1.69134,2.31659,3.71436,0.00537644,0.00497962,0.00497962
3,331.788,1.42689,1.17338,3.51733,0.84339,0.76395,0.89241,0.56851,1.27468,1.20785,3.26261,0.00499783,0.00499783,0.00499783
4,394.428,1.38222,1.03008,3.4296,0.87996,0.70815,0.82721,0.5445,1.265,1.15143,3.4812,0.00499512,0.00499512,0.00499512
5,478.788,1.34986,1.05644,3.42524,0.85449,0.78541,0.8832,0.60891,1.12394,1.0755,3.39604,0.00499132,0.00499132,0.00499132
6,558.356,1.30978,1.03243,3.43053,0.94068,0.83262,0.91348,0.625,1.19142,0.8544,3.35402,0.00498644,0.00498644,0.00498644
7,611.812,1.2931,0.95453,3.35015,0.92893,0.8927,0.95067,0.68254,1.04071,0.71358,3.15416,0.00498048,0.00498048,0.00498048
8,675.935,1.20929,0.8915,3.37794,0.94349,0.85986,0.95167,0.72371,0.94942,0.65861,3.10407,0.00497345,0.00497345,0.00497345
9,815.539,1.22529,0.87587,3.34045,0.90223,0.95059,0.96879,0.72625,0.96783,0.56758,2.92429,0.00496534,0.00496534,0.00496534
10,891.647,1.20271,0.85852,3.37728,0.81497,0.88412,0.92628,0.67406,0.98861,0.73993,3.01597,0.00495616,0.00495616,0.00495616
11,961.379,1.22121,0.87256,3.34139,0.89345,0.93991,0.97132,0.73072,0.95714,0.57922,3.20662,0.00494592,0.00494592,0.00494592
12,1039.63,1.15507,0.81922,3.27955,0.93254,0.94921,0.9828,0.73783,1.00754,0.5542,2.98224,0.00493461,0.00493461,0.00493461
13,1109.44,1.18356,0.82346,3.31327,0.9418,0.897,0.95628,0.69641,1.02922,0.60351,3.14095,0.00492224,0.00492224,0.00492224
14,1157.85,1.12259,0.7901,3.27244,0.95157,0.93991,0.97985,0.76404,0.9,0.49751,2.95735,0.00490883,0.00490883,0.00490883
15,1206.11,1.11532,0.77591,3.28014,0.88266,0.92275,0.97002,0.76454,0.84359,0.54922,3.00467,0.00489437,0.00489437,0.00489437
16,1254.04,1.11225,0.75315,3.22759,0.92763,0.88014,0.96032,0.77226,0.84428,0.55683,2.88033,0.00487886,0.00487886,0.00487886
17,1317.35,1.11733,0.77259,3.22017,0.92895,0.92275,0.97548,0.77474,0.88208,0.52632,2.96631,0.00486233,0.00486233,0.00486233
18,1365.73,1.08579,0.71573,3.16548,0.92783,0.93798,0.97549,0.77221,0.82083,0.4755,2.85545,0.00484477,0.00484477,0.00484477
19,1414.28,1.06268,0.71885,3.192,0.9109,0.94421,0.97467,0.77442,0.84866,0.52207,2.82636,0.0048262,0.0048262,0.0048262
20,1462.71,1.04278,0.71259,3.15809,0.93685,0.9551,0.98346,0.7816,0.84228,0.50254,2.84049,0.00480661,0.00480661,0.00480661
21,1526.1,1.04762,0.71571,3.13445,0.95279,0.94421,0.98431,0.77509,0.83881,0.50294,2.88522,0.00478603,0.00478603,0.00478603
22,1574.44,1.07987,0.74665,3.21852,0.91107,0.96733,0.98298,0.78109,0.83757,0.48059,2.78967,0.00476445,0.00476445,0.00476445
23,1623.19,1.07553,0.71438,3.18974,0.89742,0.93866,0.97865,0.75484,0.87662,0.50236,2.93786,0.00474189,0.00474189,0.00474189
24,1671.87,1.03212,0.71113,3.161,0.93299,0.91845,0.97363,0.7946,0.75297,0.51821,2.83906,0.00471835,0.00471835,0.00471835
25,1721.56,1.04516,0.67692,3.17746,0.90649,0.95689,0.97895,0.7772,0.84046,0.52281,2.79766,0.00469386,0.00469386,0.00469386
26,1770.18,1.05104,0.69847,3.16935,0.92261,0.92094,0.96836,0.75886,0.83058,0.59581,2.87298,0.00466841,0.00466841,0.00466841
27,1818.92,1.06127,0.69795,3.20552,0.92736,0.93141,0.9796,0.78562,0.80738,0.49735,2.80344,0.00464203,0.00464203,0.00464203
28,1867.53,1.00913,0.69683,3.11241,0.94261,0.91648,0.97402,0.79024,0.76644,0.50387,2.83181,0.00461471,0.00461471,0.00461471
29,1921.13,1.00981,0.68898,3.17607,0.95627,0.9386,0.97552,0.80512,0.78676,0.4662,2.80855,0.00458648,0.00458648,0.00458648
30,1969.66,1.02512,0.66994,3.11676,0.92395,0.93859,0.97338,0.81037,0.70654,0.48989,2.77758,0.00455734,0.00455734,0.00455734
31,2018.39,0.97612,0.64581,3.14042,0.93154,0.96137,0.97964,0.77476,0.82334,0.47845,2.85824,0.00452732,0.00452732,0.00452732
32,2067.22,0.99046,0.65675,3.11848,0.91593,0.897,0.96042,0.77707,0.75296,0.51153,2.81682,0.00449641,0.00449641,0.00449641
33,2121.98,1.00165,0.65248,3.12764,0.90997,0.95279,0.97735,0.80057,0.75616,0.48469,2.87732,0.00446464,0.00446464,0.00446464
34,2170.67,0.96039,0.63164,3.09013,0.9432,0.92649,0.97681,0.78891,0.78381,0.45837,2.78783,0.00443202,0.00443202,0.00443202
35,2219.11,0.95653,0.63075,3.05851,0.90064,0.94421,0.97045,0.80383,0.74688,0.48501,2.79197,0.00439856,0.00439856,0.00439856
36,2268.01,0.99449,0.65417,3.06044,0.95037,0.91416,0.9809,0.7963,0.77308,0.44903,2.72656,0.00436428,0.00436428,0.00436428
37,2330.38,0.96809,0.62115,3.10823,0.87987,0.94302,0.96913,0.77448,0.781,0.54738,2.7533,0.0043292,0.0043292,0.0043292
38,2378.87,0.96597,0.62114,3.05918,0.90842,0.93665,0.97714,0.81431,0.72252,0.48987,2.72899,0.00429332,0.00429332,0.00429332
39,2427.28,0.92164,0.59773,2.99322,0.92552,0.95999,0.9823,0.79976,0.73924,0.46279,2.74695,0.00425667,0.00425667,0.00425667
40,2475.96,0.93995,0.61608,3.05892,0.88076,0.97854,0.97961,0.82565,0.70184,0.47034,2.68761,0.00421925,0.00421925,0.00421925
41,2541.17,0.97764,0.62234,3.08833,0.93708,0.95885,0.9852,0.81802,0.74643,0.43209,2.71675,0.0041811,0.0041811,0.0041811
42,2589.67,0.96043,0.60297,3.03586,0.89415,0.94261,0.97503,0.81289,0.7161,0.47629,2.79566,0.00414222,0.00414222,0.00414222
43,2638.14,0.93166,0.61679,3.04467,0.93737,0.96361,0.98243,0.82202,0.6946,0.47808,2.73878,0.00410262,0.00410262,0.00410262
44,2686.73,0.953,0.60851,3.0835,0.90887,0.91416,0.97141,0.80718,0.69586,0.46616,2.6779,0.00406234,0.00406234,0.00406234
45,2742.73,0.92555,0.5911,3.03259,0.89835,0.92275,0.97236,0.80111,0.7278,0.47248,2.7176,0.00402138,0.00402138,0.00402138
46,2797.02,0.89733,0.56829,2.97364,0.94019,0.96137,0.98791,0.8522,0.66593,0.39297,2.70266,0.00397977,0.00397977,0.00397977
47,2845.61,0.91571,0.58242,2.98873,0.91413,0.95949,0.98182,0.82423,0.70833,0.43022,2.74164,0.00393752,0.00393752,0.00393752
48,2894.22,0.94066,0.59341,3.02764,0.92687,0.92473,0.96794,0.79085,0.72795,0.47082,2.67626,0.00389464,0.00389464,0.00389464
49,2964.29,0.89877,0.57316,2.95992,0.95694,0.95388,0.98801,0.84975,0.66023,0.38449,2.64654,0.00385117,0.00385117,0.00385117
50,3013.06,0.88088,0.56283,2.99697,0.93242,0.94741,0.9829,0.82858,0.68617,0.40359,2.59517,0.00380712,0.00380712,0.00380712
51,3061.6,0.90726,0.58027,2.95048,0.93683,0.93991,0.98416,0.83076,0.6979,0.44252,2.64686,0.0037625,0.0037625,0.0037625
52,3110.22,0.8907,0.57191,2.92904,0.91679,0.97854,0.98582,0.84903,0.64971,0.38717,2.6461,0.00371734,0.00371734,0.00371734
53,3158.9,0.90693,0.5737,2.92373,0.90104,0.91416,0.9729,0.78726,0.73669,0.52353,2.70655,0.00367166,0.00367166,0.00367166
54,3207.56,0.88364,0.55701,2.97475,0.94597,0.93991,0.98677,0.83643,0.67845,0.39617,2.62934,0.00362547,0.00362547,0.00362547
55,3256.32,0.87489,0.55872,2.94846,0.92525,0.95626,0.98421,0.84185,0.65686,0.38461,2.61466,0.0035788,0.0035788,0.0035788
56,3304.78,0.89581,0.55803,2.96176,0.90962,0.96137,0.97883,0.83181,0.66457,0.41683,2.6251,0.00353167,0.00353167,0.00353167
57,3353.41,0.87313,0.55536,2.97641,0.9292,0.95752,0.98074,0.84617,0.62686,0.41769,2.62783,0.0034841,0.0034841,0.0034841
58,3401.85,0.87544,0.54247,2.93016,0.95217,0.93562,0.9867,0.8517,0.64565,0.38875,2.58288,0.00343611,0.00343611,0.00343611
59,3450.52,0.88309,0.55461,2.93109,0.93628,0.93991,0.98397,0.80485,0.75777,0.44653,2.70048,0.00338772,0.00338772,0.00338772
60,3499.11,0.88554,0.57028,2.96702,0.93337,0.96195,0.986,0.84584,0.65122,0.41668,2.68252,0.00333894,0.00333894,0.00333894
