epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.1115,1.9093,2.47791,2.92509,2.25386,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0704615,0.00328205,0.00328205
2,72.1891,1.79159,1.71632,2.0459,2.1791,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0404599,0.00661377,0.00661377
3,99.6645,1.734,1.65135,1.99328,2.13124,0.03464,0.1676,0.01553,0.00383,0.03291,0.15922,0.01433,0.00368,3.41283,1.50638,44.0594,7.21202,0.0104518,0.009939,0.009939
4,127.262,1.65366,1.73208,1.89524,2.04432,0.01401,0.28212,0.00855,0.00265,0.01361,0.31285,0.00836,0.00263,2.81263,1.37221,13.9773,4.89414,0.00997803,0.00997803,0.00997803
5,157.514,1.62282,1.64016,1.8359,2.0442,0.20885,0.4004,0.21854,0.08344,0.20073,0.38547,0.20384,0.0791,2.28182,2.56156,2.89035,3.76313,0.00996097,0.00996097,0.00996097
6,185.066,1.59237,1.66929,1.77712,1.97734,0.5361,0.41899,0.45397,0.21848,0.52081,0.41899,0.42953,0.20704,1.8129,1.44352,3.74699,3.0981,0.00993906,0.00993906,0.00993906
7,211.749,1.51999,1.66378,1.69815,1.91882,0.30432,0.41341,0.2755,0.12409,0.29552,0.41061,0.26419,0.11764,1.6469,1.28727,2.78969,2.52344,0.00991232,0.00991232,0.00991232
8,238.648,1.43722,1.67646,1.57268,1.8059,0.30891,0.34078,0.30113,0.11733,0.27572,0.35196,0.27668,0.10905,2.04742,1.58106,7.17425,3.31447,0.00988079,0.00988079,0.00988079
9,265.497,1.45549,1.6688,1.56532,1.86749,0.66548,0.62237,0.62358,0.29998,0.59934,0.60335,0.57786,0.28292,1.59829,1.32987,1.86608,2.61667,0.00984449,0.00984449,0.00984449
10,292.303,1.41722,1.56213,1.54898,1.8059,0.48728,0.48883,0.48858,0.20977,0.48632,0.48045,0.47568,0.1998,1.74673,1.29219,1.88053,2.86294,0.00980345,0.00980345,0.00980345
11,318.634,1.37929,1.6253,1.44665,1.76689,0.78087,0.70112,0.75279,0.39986,0.7727,0.67419,0.70515,0.37511,1.54354,1.23758,1.57665,2.50368,0.00975773,0.00975773,0.00975773
12,346.174,1.38155,1.51875,1.41581,1.76126,0.80484,0.64246,0.74395,0.41661,0.77334,0.61732,0.68704,0.38448,1.44706,1.23514,1.70616,2.32285,0.00970736,0.00970736,0.00970736
13,373.62,1.36049,1.66597,1.40995,1.7371,0.75244,0.68994,0.77911,0.46797,0.72043,0.6648,0.73084,0.44062,1.3836,1.24669,1.58484,2.26363,0.00965239,0.00965239,0.00965239
14,401.61,1.33129,1.55547,1.41214,1.70911,0.78277,0.68715,0.79672,0.47237,0.7605,0.6676,0.76278,0.45435,1.37725,1.19581,1.44507,2.34321,0.00959289,0.00959289,0.00959289
15,429.962,1.30681,1.49697,1.32701,1.70337,0.51831,0.62218,0.57968,0.31405,0.51927,0.59218,0.55615,0.29597,1.36535,2.14155,1.78595,2.15389,0.00952889,0.00952889,0.00952889
16,458.058,1.25063,1.45017,1.28773,1.6542,0.82614,0.69022,0.79291,0.45551,0.79109,0.65582,0.74703,0.43423,1.38224,1.2383,1.46587,2.2171,0.00946048,0.00946048,0.00946048
17,486.356,1.26429,1.53975,1.28257,1.63129,0.76475,0.7446,0.79518,0.49312,0.73931,0.72089,0.74825,0.46829,1.27381,1.24438,1.45437,2.13249,0.00938772,0.00938772,0.00938772
18,514.741,1.25687,1.51606,1.29632,1.64872,0.56223,0.6648,0.65972,0.37088,0.55258,0.63687,0.63112,0.35564,1.38976,1.38225,1.8834,2.18314,0.00931067,0.00931067,0.00931067
19,541.996,1.23198,1.68017,1.2542,1.62663,0.73033,0.47207,0.56429,0.23443,0.7044,0.45531,0.53035,0.22649,1.95946,1.60404,3.0988,3.49685,0.00922942,0.00922942,0.00922942
