epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.0475,0.89204,2.59805,1.29537,0.00333,1,0.33214,0.09959,0.51772,3.17018,1.16018,4e-05,4e-05,4e-05
2,13.8448,0.7399,2.62162,1.20035,0.00333,1,0.895,0.48836,0.42418,3.12482,1.02426,9.802e-05,9.802e-05,9.802e-05
3,19.5666,0.54016,2.16607,1.05346,0.00333,1,0.5919,0.46832,0.56277,3.09056,1.04517,0.000153664,0.000153664,0.000153664
4,25.6335,0.59443,1.69914,1.08116,0.00333,1,0.77682,0.60041,0.57143,2.97087,1.09918,0.000206932,0.000206932,0.000206932
5,31.6523,0.58378,1.3257,1.09837,0.00672,1,0.855,0.64356,0.54977,2.83212,1.08271,0.000257824,0.000257824,0.000257824
6,38.3385,0.63194,1.342,1.14656,1,0.76481,0.96167,0.85197,0.47686,2.51398,1.02436,0.00030634,0.00030634,0.00030634
7,43.5731,0.52938,1.41752,1.09275,0.99437,0.8,0.96167,0.8655,0.43762,2.48206,1.00908,0.00035248,0.00035248,0.00035248
8,48.9275,0.41565,1.34599,0.93208,1,0.7441,0.995,0.91503,0.40388,2.56434,1.00672,0.000396244,0.000396244,0.000396244
9,54.2529,0.47293,0.96114,0.96721,1,0.72214,0.995,0.91503,0.36702,2.56487,0.98211,0.000437632,0.000437632,0.000437632
10,59.026,0.50748,0.97849,0.98551,1,0.77042,0.995,0.92504,0.41834,2.64296,1.01169,0.000476644,0.000476644,0.000476644
11,63.9529,0.4681,0.98429,0.96012,1,0.92944,0.995,0.88043,0.5659,2.67913,1.18311,0.00051328,0.00051328,0.00051328
12,68.5921,0.46822,0.92306,0.96322,0.97111,1,0.995,0.85207,0.60945,2.53703,1.2655,0.00054754,0.00054754,0.00054754
13,73.2262,0.48027,1.17439,1.0098,0.95228,1,0.995,0.86353,0.58049,2.4192,1.09481,0.000579424,0.000579424,0.000579424
14,78.2105,0.46056,0.97294,0.96223,1,0.972,0.995,0.86843,0.52864,2.2598,1.01947,0.000608932,0.000608932,0.000608932
15,83.3527,0.55715,1.03226,1.0431,1,0.972,0.995,0.86843,0.52864,2.2598,1.01947,0.000636064,0.000636064,0.000636064
16,88.1987,0.48413,1.17834,1.05062,0.99734,1,0.995,0.83028,0.51627,1.98764,1.03067,0.00066082,0.00066082,0.00066082
17,93.1642,0.50396,0.91264,0.98998,1,0.98694,0.995,0.82866,0.55444,1.8756,1.18375,0.0006832,0.0006832,0.0006832
18,98.0368,0.49629,1.035,0.94286,1,0.98694,0.995,0.82866,0.55444,1.8756,1.18375,0.000703204,0.000703204,0.000703204
19,102.762,0.55143,0.99442,1.05296,0.99312,1,0.995,0.87942,0.49446,2.07258,1.129,0.000720832,0.000720832,0.000720832
20,108.222,0.57555,1.07069,1.0967,0.98807,1,0.995,0.90429,0.49437,2.08963,1.09122,0.000736084,0.000736084,0.000736084
21,113.925,0.55467,1.01677,0.969,0.98807,1,0.995,0.90429,0.49437,2.08963,1.09122,0.00074896,0.00074896,0.00074896
22,119.552,0.52629,0.98387,1.00989,0.99317,1,0.995,0.83567,0.60436,1.79717,1.22557,0.00075946,0.00075946,0.00075946
23,125.222,0.52244,0.92005,1.01349,0.99317,1,0.995,0.83567,0.60436,1.79717,1.22557,0.000767584,0.000767584,0.000767584
24,130.875,0.44457,0.91105,0.98497,0.83285,1,0.96167,0.8504,0.48421,1.74665,1.12104,0.000773332,0.000773332,0.000773332
25,136.325,0.48992,0.98656,0.97963,0.83285,1,0.96167,0.8504,0.48421,1.74665,1.12104,0.000776704,0.000776704,0.000776704
