epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.84465,1.39917,4.28641,1.697,0.00117,0.02703,0.00078,0.0001,4.56343,654.39,30.262,0.0856,0.0016,0.0016
2,6.63937,2.51041,2.92518,2.60264,0,0,0,0,nan,nan,nan,0.0702992,0.00329919,0.00329919
3,9.26429,2.63095,2.87049,2.7269,0,0,0,0,nan,nan,nan,0.0549951,0.00499512,0.00499512
4,11.9809,2.42765,2.69476,2.53381,0,0,0,0,nan,nan,nan,0.0396853,0.00668528,0.00668528
5,14.762,2.39257,2.68334,2.50335,0,0,0,0,nan,nan,nan,0.0243672,0.00836721,0.00836721
6,17.712,2.35782,2.61918,2.50598,0,0,0,0,nan,nan,nan,0.00993906,0.00993906,0.00993906
7,20.5792,2.25365,2.7104,2.43805,0,0,0,0,nan,nan,nan,0.00991232,0.00991232,0.00991232
8,23.4298,2.12822,2.52747,2.23297,0,0,0,0,nan,nan,nan,0.00988079,0.00988079,0.00988079
9,26.3565,1.98647,2.42136,2.21349,0,0,0,0,1.72552,2.80668,11.4312,0.00984449,0.00984449,0.00984449
10,29.0443,2.06971,2.38002,2.26133,0,0,0,0,0,nan,0,0.00980345,0.00980345,0.00980345
11,31.9016,1.9748,2.30899,2.15642,0,0,0,0,0,0.05957,0,0.00975773,0.00975773,0.00975773
12,34.6296,2.03742,2.30296,2.2599,0.01843,0.10811,0.0053,0.00091,4.07656,4.26403,9.25587,0.00970736,0.00970736,0.00970736
13,37.4218,2.06105,2.3418,2.26404,0.03022,0.18919,0.01603,0.00378,3.03344,3.32849,4.65503,0.00965239,0.00965239,0.00965239
14,40.1647,1.905,2.27038,2.16753,0.0795,0.2973,0.05425,0.0151,2.77512,3.39831,5.01579,0.00959289,0.00959289,0.00959289
15,43.3385,1.82757,2.16161,2.07537,0.14032,0.13514,0.06885,0.01926,3.08612,3.76262,6.36978,0.00952889,0.00952889,0.00952889
16,46.4571,1.87301,2.09488,2.11776,0.27104,0.21622,0.12018,0.04501,2.87682,3.38724,4.40278,0.00946048,0.00946048,0.00946048
17,49.5699,1.82361,1.97016,1.96978,0.19394,0.10811,0.04104,0.00613,3.82102,4.38739,7.37407,0.00938772,0.00938772,0.00938772
18,52.3621,1.78952,1.93241,1.99421,0.09464,0.27027,0.06084,0.01419,2.76469,3.83171,3.49039,0.00931067,0.00931067,0.00931067
19,55.1841,1.79411,1.92885,1.98175,0.23542,0.54054,0.21537,0.06421,2.02649,2.6221,2.75212,0.00922942,0.00922942,0.00922942
20,58.2571,1.79431,1.90739,1.95637,0.14729,0.40541,0.09907,0.0277,2.49498,2.89088,3.1107,0.00914405,0.00914405,0.00914405
21,61.2712,1.85504,1.87699,2.04445,0.38951,0.45946,0.34161,0.12505,1.90589,2.58229,2.59696,0.00905463,0.00905463,0.00905463
22,64.3067,1.71866,1.79828,1.94064,0.40869,0.48649,0.41197,0.16402,1.79283,2.12671,2.37004,0.00896127,0.00896127,0.00896127
23,67.2103,1.75752,1.75072,1.9018,0.42423,0.64865,0.5025,0.19235,1.85604,2.09728,2.41258,0.00886404,0.00886404,0.00886404
24,70.3831,1.82933,1.82128,1.93627,0.37552,0.56757,0.40024,0.15325,1.91496,2.29503,2.56962,0.00876305,0.00876305,0.00876305
25,73.4284,1.74071,1.75182,1.95365,0.35697,0.67568,0.41178,0.1342,2.03686,2.02363,2.71121,0.00865839,0.00865839,0.00865839
26,76.537,1.63101,1.66494,1.87363,0.3645,0.60468,0.44601,0.15152,1.92795,1.90766,2.72066,0.00855018,0.00855018,0.00855018
27,79.4738,1.62751,1.59974,1.78747,0.25395,0.62162,0.31869,0.12308,1.87573,2.20937,2.56803,0.00843851,0.00843851,0.00843851
28,82.395,1.67653,1.64048,1.86587,0.33492,0.54054,0.33592,0.11669,1.86494,2.11782,2.55938,0.00832349,0.00832349,0.00832349
29,85.3885,1.68949,1.61904,1.84772,0.29168,0.54054,0.42733,0.16445,1.83077,1.92038,2.54761,0.00820525,0.00820525,0.00820525
30,88.3678,1.71575,1.60835,1.82979,0.34554,0.55662,0.42551,0.14406,1.96146,1.98202,2.82616,0.00808389,0.00808389,0.00808389
31,91.2436,1.73456,1.60607,1.88573,0.35577,0.67568,0.46513,0.1724,1.99758,1.99442,2.74016,0.00795954,0.00795954,0.00795954
32,94.4678,1.57313,1.48895,1.73934,0.40865,0.64865,0.48048,0.17898,1.78494,1.98173,2.38948,0.00783231,0.00783231,0.00783231
33,97.4576,1.57092,1.48821,1.76277,0.37295,0.49845,0.36834,0.10998,1.97617,2.14741,2.52254,0.00770234,0.00770234,0.00770234
34,100.267,1.60079,1.59508,1.85982,0.18394,0.37838,0.18005,0.06152,2.26307,2.64085,2.84852,0.00756976,0.00756976,0.00756976
35,103.168,1.59715,1.49893,1.78237,0.33701,0.52217,0.36389,0.12271,1.88796,2.08598,2.60402,0.00743468,0.00743468,0.00743468
36,106.003,1.56689,1.4271,1.76106,0.32454,0.54547,0.39164,0.15693,1.7223,2.21443,2.43243,0.00729725,0.00729725,0.00729725
