epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.11765,1.81202,2.87453,3.39172,0.63104,0.82857,0.7372,0.34331,1.26167,5.8152,3.35944,0.0937,0.0007,0.0007
2,7.09648,1.60443,1.66281,3.10361,0.15972,0.65714,0.11399,0.04097,1.71268,93.7689,4.89952,0.0864998,0.00149984,0.00149984
3,9.94319,1.73116,1.55787,3.05749,0.14208,0.74286,0.15517,0.04445,1.47264,182.553,5.83912,0.079299,0.002299,0.002299
4,12.7875,1.5729,1.39851,2.8919,0.07246,0.85714,0.06571,0.01776,1.74419,179.581,6.67862,0.072097,0.00309697,0.00309697
5,15.7435,1.66886,1.4701,2.94245,0.0973,0.51429,0.08283,0.01755,2.48381,410.218,20.5391,0.0648932,0.00389323,0.00389323
6,18.5859,1.69734,1.54252,3.04011,0.08133,0.25714,0.04356,0.00771,3.63427,39.7534,68.1964,0.0576873,0.00468726,0.00468726
7,21.3996,1.63772,1.35318,2.92628,0.04286,0.25714,0.02846,0.00635,2.3552,inf,61.7794,0.0504785,0.00547853,0.00547853
8,24.2235,1.58497,1.3408,2.98831,0.03991,0.2,0.02354,0.00409,4.33428,249.843,40.7956,0.0432665,0.00626655,0.00626655
9,27.0358,1.57747,1.25406,2.82711,0.0282,0.37143,0.01376,0.00239,3.28021,438.186,60.8893,0.0360508,0.00705078,0.00705078
10,29.905,1.52937,1.25234,2.97291,0.07911,0.71429,0.06442,0.01603,2.67635,270.076,24.678,0.0288307,0.00783073,0.00783073
11,32.7545,1.43417,1.20752,2.89958,0.06358,0.31429,0.04175,0.00824,2.94141,74.1256,24.6217,0.0216059,0.00860589,0.00860589
12,35.6159,1.56122,1.29793,2.95626,0.02481,0.28571,0.01495,0.00267,3.64877,269.62,31.0106,0.0143758,0.00937575,0.00937575
13,38.4245,1.48634,1.33994,2.93204,0.01731,0.17143,0.00951,0.00298,3.31797,32.801,15.4658,0.00984449,0.00984449,0.00984449
14,41.2125,1.49348,1.1129,2.73016,0.02234,0.2,0.0135,0.00366,3.31215,11.7168,12.609,0.00981765,0.00981765,0.00981765
15,44.0281,1.42834,1.17373,2.86159,0.03155,0.37143,0.0284,0.0067,3.28148,8.01295,23.2436,0.00978873,0.00978873,0.00978873
16,46.8436,1.51677,1.24383,2.84794,0.28944,0.37143,0.24918,0.10219,2.2535,3.34331,4.88833,0.00975773,0.00975773,0.00975773
17,49.7767,1.30709,1.08392,2.88586,0.40061,0.5729,0.45915,0.22603,2.01135,3.45162,4.27703,0.00972466,0.00972466,0.00972466
18,52.5381,1.37803,1.10324,2.93201,0.49098,0.48571,0.4736,0.2102,2.67162,4.18994,5.86434,0.00968955,0.00968955,0.00968955
19,55.3607,1.30565,1.1413,2.7472,0.23381,0.71429,0.32224,0.14899,1.5655,12.0447,3.8747,0.00965239,0.00965239,0.00965239
20,58.1662,1.42674,1.13815,2.83772,0.21965,0.65714,0.27022,0.1319,1.5885,11.877,3.61617,0.00961322,0.00961322,0.00961322
21,60.9998,1.31705,0.9859,2.77926,0.38038,0.74286,0.49207,0.25794,1.51962,5.97963,3.52957,0.00957205,0.00957205,0.00957205
22,63.7738,1.31846,1.04209,2.71948,0.31204,0.62212,0.37641,0.15635,1.78014,6.31091,3.90482,0.00952889,0.00952889,0.00952889
23,66.5944,1.30793,1.05715,2.75775,0.26343,0.57143,0.24639,0.10109,1.73688,5.2858,3.66885,0.00948377,0.00948377,0.00948377
24,69.4454,1.24132,0.95978,2.66801,0.1788,0.65714,0.16935,0.08503,1.36105,10.3602,3.44619,0.00943671,0.00943671,0.00943671
25,72.2884,1.25894,1.06281,2.95933,0.23692,0.71429,0.21479,0.11258,1.24369,9.13554,3.4114,0.00938772,0.00938772,0.00938772
26,75.0911,1.29057,0.95466,2.78183,0.24111,0.74286,0.23809,0.14479,1.27207,13.4542,3.17195,0.00933683,0.00933683,0.00933683
27,77.9606,1.39486,0.96952,2.83481,0.63866,0.8,0.7652,0.47203,1.13906,3.82477,3.05674,0.00928405,0.00928405,0.00928405
28,80.8407,1.32898,1.01942,2.7419,0.88887,0.85714,0.92334,0.47495,1.22051,1.58239,3.28177,0.00922942,0.00922942,0.00922942
29,83.6658,1.19998,0.89877,2.68878,0.86298,0.94286,0.92496,0.60671,1.20705,1.13206,3.03402,0.00917296,0.00917296,0.00917296
30,86.5696,1.19088,0.93631,2.61139,0.51167,0.8,0.53203,0.31655,1.28678,2.99994,3.01636,0.00911469,0.00911469,0.00911469
31,89.4175,1.17837,0.97605,2.74669,0.53466,0.82081,0.59697,0.3685,1.12145,2.56703,2.97174,0.00905463,0.00905463,0.00905463
32,92.2294,1.19517,0.95882,2.75646,0.81405,0.94286,0.93082,0.58644,1.05501,1.66742,3.02127,0.00899282,0.00899282,0.00899282
33,95.071,1.14974,0.93834,2.73956,0.91687,0.97143,0.97528,0.63037,1.20412,1.21185,3.02189,0.00892928,0.00892928,0.00892928
34,97.9363,1.17186,0.84964,2.70825,0.81649,0.88995,0.87186,0.47259,1.66846,0.98963,4.10837,0.00886404,0.00886404,0.00886404
35,100.813,1.2706,0.88737,2.64723,0.77529,0.88722,0.84658,0.50489,1.1877,1.26204,3.31378,0.00879713,0.00879713,0.00879713
36,103.59,1.22308,0.91509,2.69358,0.79267,0.88571,0.86721,0.56482,1.11864,0.93725,3.18168,0.00872857,0.00872857,0.00872857
37,106.41,1.2876,0.90221,2.72559,0.7375,0.88304,0.83101,0.43776,1.61251,1.10969,3.70021,0.00865839,0.00865839,0.00865839
38,109.237,1.27182,0.91584,2.67624,0.81967,0.88571,0.87058,0.48297,1.37016,1.15492,3.15921,0.00858664,0.00858664,0.00858664
39,112.055,1.2131,0.97297,2.63751,0.80477,0.88571,0.88421,0.5862,1.04465,1.0107,3.0642,0.00851333,0.00851333,0.00851333
40,114.857,1.14598,0.89157,2.69715,0.86709,0.9322,0.94434,0.69182,0.93231,0.91976,2.97693,0.00843851,0.00843851,0.00843851
41,117.726,1.1915,0.87038,2.6842,0.83913,0.91429,0.92741,0.68279,0.97787,1.33056,2.85647,0.0083622,0.0083622,0.0083622
