epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.96537,1.62819,1.96719,3.04778,0.2163,0.6,0.18519,0.04239,2.05305,10.5137,4.29476,0.0865,0.0015,0.0015
2,8.89539,1.76813,1.48225,3.03123,0.19512,0.68571,0.18145,0.04736,2.5093,49.9789,7.78337,0.0720992,0.00309924,0.00309924
3,11.7552,1.68513,1.4551,2.9417,0.01563,0.25714,0.00993,0.00405,3.51254,37.3407,7.16233,0.0576954,0.00469541,0.00469541
4,14.5364,1.6952,1.3754,3.01827,0.00617,0.02857,0.00082,8e-05,3.29514,12.1465,9.33167,0.0432862,0.00628616,0.00628616
5,17.3762,1.51968,1.28167,2.95406,0.01905,0.05714,0.0103,0.00103,2.97671,6.59989,5.85936,0.0288692,0.00786916,0.00786916
6,20.0554,1.5629,1.18918,2.77898,0,0,0,0,0.70944,0.73828,0.61954,0.0144421,0.0094421,0.0094421
7,22.7742,1.57001,1.09779,2.84105,0,0,0,0,4.70613,6.9669,5.04279,0.00991232,0.00991232,0.00991232
8,25.5155,1.5085,1.09529,2.90101,0,0,0,0,0.44921,1.25144,0.80434,0.00988079,0.00988079,0.00988079
9,28.3136,1.48198,1.09661,2.77431,0.01351,0.02857,0.00699,0.0028,4.12814,6.0266,5.72279,0.00984449,0.00984449,0.00984449
10,31.2148,1.50508,1.09809,2.75957,0.44399,0.05714,0.03981,0.01315,2.62193,5.20372,4.40427,0.00980345,0.00980345,0.00980345
11,34.0769,1.39027,1.02791,2.78401,0.18759,0.25714,0.13657,0.05835,2.00816,3.96466,3.70215,0.00975773,0.00975773,0.00975773
12,36.9903,1.43198,1.07253,2.79379,0.84129,0.74286,0.84213,0.38887,1.77288,1.37307,3.61167,0.00970736,0.00970736,0.00970736
13,39.9063,1.33523,1.00898,2.80052,0.74668,0.77143,0.81433,0.4036,1.72156,2.03322,4.00682,0.00965239,0.00965239,0.00965239
14,42.7901,1.23895,0.91144,2.68153,0.76836,0.85714,0.87771,0.50522,1.53445,1.58896,3.50391,0.00959289,0.00959289,0.00959289
15,45.7059,1.22246,0.8755,2.70645,0.63584,0.64871,0.64603,0.34926,1.70544,1.84989,3.50202,0.00952889,0.00952889,0.00952889
16,48.5177,1.23928,0.89909,2.75691,0.85786,0.97143,0.96913,0.54604,1.36381,1.18075,3.34397,0.00946048,0.00946048,0.00946048
17,51.5083,1.26166,0.85608,2.69843,0.79862,0.82857,0.90635,0.47166,1.6334,1.6287,3.53248,0.00938772,0.00938772,0.00938772
18,54.5552,1.34695,0.83127,2.67149,0.86684,0.94286,0.92888,0.46976,1.52848,1.41011,3.44282,0.00931067,0.00931067,0.00931067
19,57.4287,1.22666,0.8007,2.58881,0.84757,0.74286,0.8057,0.40993,1.65735,1.66642,3.69277,0.00922942,0.00922942,0.00922942
20,60.3049,1.18981,0.82792,2.73001,0.72989,0.82857,0.85378,0.53022,1.251,1.48415,3.31181,0.00914405,0.00914405,0.00914405
21,63.2111,1.193,0.81314,2.75597,0.72864,0.88571,0.8864,0.57679,1.16349,1.54683,3.13772,0.00905463,0.00905463,0.00905463
22,66.1569,1.12072,0.7826,2.64838,0.86005,0.87807,0.95554,0.61683,1.13643,1.33786,3.16222,0.00896127,0.00896127,0.00896127
23,69.0377,1.29957,0.79443,2.74678,0.83723,0.88187,0.9432,0.68309,1.07908,1.09912,3.02004,0.00886404,0.00886404,0.00886404
24,71.8972,1.09138,0.72447,2.55423,0.73911,0.91429,0.90303,0.57392,1.30127,1.07603,3.20227,0.00876305,0.00876305,0.00876305
25,74.7405,1.1413,0.75451,2.6429,0.93661,0.84459,0.94108,0.60816,1.19446,0.93382,3.15404,0.00865839,0.00865839,0.00865839
26,77.5652,1.17673,0.76115,2.63887,1,0.99902,0.995,0.67248,1.13313,0.72916,3.14554,0.00855018,0.00855018,0.00855018
27,80.407,1.10779,0.70445,2.58811,1,0.99006,0.995,0.69605,1.04314,0.64114,3.01743,0.00843851,0.00843851,0.00843851
28,83.3151,1.12107,0.75385,2.66665,0.98243,0.97143,0.99342,0.66608,1.12415,0.64108,3.10795,0.00832349,0.00832349,0.00832349
29,86.1574,1.23698,0.75949,2.89981,0.97114,0.96163,0.99209,0.70775,0.95455,0.63665,3.07936,0.00820525,0.00820525,0.00820525
30,89.0729,1.07695,0.70584,2.61174,0.96324,0.94286,0.97722,0.73347,0.93542,0.68838,2.89723,0.00808389,0.00808389,0.00808389
31,91.9835,1.16144,0.80962,2.6783,0.99655,0.97143,0.9768,0.73672,0.96775,0.6515,2.81538,0.00795954,0.00795954,0.00795954
32,94.8913,1.09169,0.75178,2.70717,0.94577,0.99662,0.9923,0.72318,0.9895,0.77703,3.0122,0.00783231,0.00783231,0.00783231
33,97.7558,1.03473,0.71869,2.56065,0.98851,1,0.995,0.72744,0.94635,0.65077,2.90684,0.00770234,0.00770234,0.00770234
34,100.642,1.17361,0.83425,2.70682,0.98472,0.97143,0.99444,0.77008,0.87974,0.56205,2.81468,0.00756976,0.00756976,0.00756976
35,103.664,1.03497,0.64139,2.49528,0.94231,0.93364,0.98469,0.73158,0.97008,0.64716,2.76576,0.00743468,0.00743468,0.00743468
36,106.518,1.06193,0.67342,2.58891,0.97123,0.96463,0.98586,0.73384,1.00194,0.66054,2.93062,0.00729725,0.00729725,0.00729725
37,109.392,1.02164,0.64299,2.46467,0.99736,0.97143,0.98529,0.71945,0.9624,0.63389,2.94348,0.00715761,0.00715761,0.00715761
38,112.212,1.0503,0.61405,2.49711,0.97002,0.97143,0.9925,0.78435,0.82034,0.62856,2.83052,0.00701588,0.00701588,0.00701588
39,115.115,1.04757,0.64568,2.64753,0.92079,0.99643,0.98999,0.77874,0.85056,0.60771,2.7803,0.00687222,0.00687222,0.00687222
40,117.955,1.07449,0.63036,2.56232,0.94087,1,0.9922,0.73897,0.86997,0.58562,2.76907,0.00672675,0.00672675,0.00672675
41,120.821,1.03806,0.65869,2.58984,0.97087,0.95256,0.99256,0.73553,0.84921,0.61771,2.85265,0.00657963,0.00657963,0.00657963
42,123.667,1.11752,0.68209,2.5562,0.97134,0.96839,0.99085,0.75117,0.91161,0.60773,2.80712,0.00643101,0.00643101,0.00643101
43,126.567,0.98966,0.64126,2.52034,0.96221,0.97143,0.9891,0.74224,0.87773,0.62194,2.81148,0.00628101,0.00628101,0.00628101
44,129.772,0.9679,0.64781,2.44679,0.97272,0.94286,0.99005,0.73651,0.85421,0.64336,2.83564,0.00612981,0.00612981,0.00612981
45,132.802,0.98572,0.63454,2.46128,0.99535,0.94286,0.99122,0.79233,0.7988,0.59962,2.69036,0.00597754,0.00597754,0.00597754
46,135.688,1.00519,0.61954,2.3936,0.97137,0.96953,0.97602,0.79145,0.79278,0.68008,2.74556,0.00582435,0.00582435,0.00582435
47,138.553,0.95046,0.57996,2.43764,0.99663,0.97143,0.98929,0.82465,0.70898,0.53662,2.75514,0.0056704,0.0056704,0.0056704
48,141.731,0.96695,0.62912,2.56369,1,0.99655,0.995,0.79884,0.74758,0.47515,2.74529,0.00551584,0.00551584,0.00551584
49,145.146,0.94914,0.59994,2.5518,0.99955,1,0.995,0.80199,0.88375,0.46708,2.79184,0.00536081,0.00536081,0.00536081
50,148.523,0.91262,0.57824,2.40076,1,0.99592,0.995,0.81702,0.79656,0.44761,2.80078,0.00520548,0.00520548,0.00520548
51,151.808,0.99721,0.6027,2.57015,0.99619,1,0.995,0.78406,0.81425,0.47947,2.76469,0.00505,0.00505,0.00505
52,154.804,0.94629,0.59492,2.48995,0.96437,1,0.99444,0.76311,0.88062,0.48632,2.76107,0.00489452,0.00489452,0.00489452
53,157.722,0.86754,0.54886,2.37029,0.99687,1,0.995,0.80401,0.81195,0.43223,2.76652,0.00473919,0.00473919,0.00473919
54,160.54,0.93203,0.61989,2.63099,0.99571,1,0.995,0.80951,0.7613,0.44752,2.76009,0.00458416,0.00458416,0.00458416
55,163.406,0.86868,0.59025,2.54552,0.99569,1,0.995,0.80603,0.78364,0.4465,2.6968,0.0044296,0.0044296,0.0044296
56,166.257,0.98258,0.64233,2.62463,1,0.9954,0.995,0.8195,0.76626,0.46384,2.66887,0.00427565,0.00427565,0.00427565
57,169.06,0.87656,0.54656,2.4525,0.99926,1,0.995,0.80981,0.74923,0.48954,2.65992,0.00412246,0.00412246,0.00412246
58,171.955,0.95397,0.56605,2.47602,0.99899,1,0.995,0.79763,0.75337,0.47474,2.71311,0.00397019,0.00397019,0.00397019
59,174.715,0.93104,0.58877,2.5038,0.99752,1,0.995,0.79044,0.80637,0.46203,2.69208,0.00381899,0.00381899,0.00381899
60,177.526,0.89075,0.5505,2.51722,0.99676,1,0.995,0.78542,0.83889,0.45703,2.65311,0.00366899,0.00366899,0.00366899
61,180.327,0.8904,0.55253,2.39224,0.99676,1,0.995,0.78354,0.84435,0.44453,2.62245,0.00352037,0.00352037,0.00352037
62,183.163,0.90141,0.56109,2.42532,1,0.99893,0.995,0.79797,0.77161,0.44027,2.61281,0.00337325,0.00337325,0.00337325
63,185.981,0.92693,0.57041,2.597,1,0.99567,0.995,0.8166,0.75227,0.42799,2.63452,0.00322778,0.00322778,0.00322778
64,188.784,0.84273,0.52861,2.42165,1,0.99445,0.995,0.83255,0.73138,0.42566,2.59354,0.00308412,0.00308412,0.00308412
65,191.622,0.8049,0.51533,2.42109,0.99548,0.97143,0.99444,0.85046,0.69669,0.41099,2.62749,0.00294239,0.00294239,0.00294239
66,194.461,0.87922,0.55114,2.48013,0.99482,0.97143,0.99342,0.84613,0.69258,0.42446,2.67883,0.00280275,0.00280275,0.00280275
67,197.274,0.92481,0.54949,2.55597,0.99601,0.97143,0.99342,0.83601,0.71829,0.44035,2.65936,0.00266532,0.00266532,0.00266532
68,200.069,0.86989,0.51632,2.31743,0.99725,0.97143,0.99444,0.84711,0.70993,0.42776,2.63174,0.00253024,0.00253024,0.00253024
69,203.052,0.86084,0.53366,2.39838,1,0.99806,0.995,0.85054,0.68702,0.43494,2.60264,0.00239766,0.00239766,0.00239766
70,205.86,0.78895,0.46988,2.34576,1,0.99798,0.995,0.85872,0.63749,0.43302,2.62675,0.00226769,0.00226769,0.00226769
71,208.684,0.77477,0.49515,2.39433,0.99769,0.97143,0.99444,0.84447,0.67613,0.44681,2.65435,0.00214046,0.00214046,0.00214046
72,211.497,0.85066,0.57207,2.49038,1,0.99853,0.995,0.81009,0.73104,0.46596,2.61852,0.00201611,0.00201611,0.00201611
73,214.3,0.87643,0.52528,2.53967,1,0.99937,0.995,0.82752,0.7152,0.44545,2.59063,0.00189475,0.00189475,0.00189475
74,217.096,0.87146,0.54546,2.49248,0.99841,1,0.995,0.84398,0.68384,0.41778,2.61988,0.00177651,0.00177651,0.00177651
75,219.887,0.82263,0.48153,2.41616,0.99827,1,0.995,0.85138,0.68871,0.40411,2.6717,0.00166149,0.00166149,0.00166149
76,222.677,0.84687,0.59288,2.62524,0.99834,1,0.995,0.84751,0.68653,0.397,2.66134,0.00154982,0.00154982,0.00154982
77,225.531,0.81974,0.50165,2.40344,1,0.99826,0.995,0.85665,0.66667,0.3938,2.61571,0.00144161,0.00144161,0.00144161
78,228.393,0.86466,0.53732,2.47656,1,0.99809,0.995,0.8503,0.66776,0.38537,2.60267,0.00133695,0.00133695,0.00133695
79,231.546,0.82523,0.52529,2.46606,1,0.99974,0.995,0.85486,0.64962,0.38492,2.61066,0.00123596,0.00123596,0.00123596
80,234.536,0.87802,0.52608,2.46087,1,0.99739,0.995,0.86031,0.63451,0.38113,2.63875,0.00113873,0.00113873,0.00113873
81,237.853,0.86477,0.50999,2.37933,0.9997,1,0.995,0.84797,0.63457,0.3841,2.67972,0.00104537,0.00104537,0.00104537
82,241.146,0.86999,0.56841,2.46986,0.99898,1,0.995,0.84947,0.64084,0.39988,2.69372,0.000955951,0.000955951,0.000955951
83,244.433,0.83332,0.50241,2.37663,0.99812,1,0.995,0.85389,0.63037,0.40929,2.65275,0.000870577,0.000870577,0.000870577
84,247.342,0.80875,0.4818,2.39279,0.9978,1,0.995,0.85349,0.64184,0.40855,2.61173,0.000789327,0.000789327,0.000789327
85,250.294,0.85457,0.51279,2.49011,1,0.99908,0.995,0.8499,0.65913,0.40109,2.58664,0.000712282,0.000712282,0.000712282
86,253.448,0.82033,0.5017,2.47474,1,0.99119,0.995,0.84968,0.6603,0.39355,2.58079,0.000639518,0.000639518,0.000639518
87,256.332,0.79207,0.47079,2.39266,0.99735,1,0.995,0.86072,0.64635,0.39034,2.59647,0.000571106,0.000571106,0.000571106
88,259.324,0.84492,0.51458,2.43866,1,0.99785,0.995,0.85969,0.62084,0.38238,2.62096,0.000507115,0.000507115,0.000507115
89,262.198,0.78461,0.4777,2.44697,1,0.992,0.995,0.85839,0.62039,0.38215,2.64608,0.000447606,0.000447606,0.000447606
90,265.607,0.83659,0.48808,2.44143,0.99826,1,0.995,0.85043,0.61839,0.38262,2.64976,0.00039264,0.00039264,0.00039264
91,276.964,0.603,0.48867,2.5933,0.9716,0.97753,0.99444,0.85409,0.61794,0.38339,2.63797,0.00034227,0.00034227,0.00034227
92,279.964,0.61858,0.45861,2.54246,0.94291,1,0.99306,0.86905,0.61592,0.39376,2.6163,0.000296546,0.000296546,0.000296546
93,283.329,0.57599,0.42833,2.49365,0.94526,1,0.99306,0.87039,0.61431,0.39577,2.59165,0.000255513,0.000255513,0.000255513
94,286.707,0.57684,0.43339,2.58644,0.96049,0.97143,0.99306,0.87003,0.61852,0.39396,2.58132,0.000219212,0.000219212,0.000219212
95,289.857,0.57638,0.39811,2.51033,0.97201,0.99241,0.99444,0.87109,0.61335,0.3876,2.57366,0.000187678,0.000187678,0.000187678
96,293.09,0.56547,0.38442,2.55798,1,0.96963,0.99444,0.87328,0.60769,0.37774,2.57274,0.000160943,0.000160943,0.000160943
97,295.989,0.56771,0.37409,2.56737,1,0.97057,0.99444,0.8813,0.60675,0.37307,2.57423,0.000139032,0.000139032,0.000139032
98,298.85,0.55741,0.36991,2.49497,1,0.9892,0.995,0.87112,0.60622,0.36957,2.57699,0.000121968,0.000121968,0.000121968
99,301.689,0.59351,0.37426,2.60582,0.9966,1,0.995,0.87101,0.60731,0.36428,2.58188,0.000109768,0.000109768,0.000109768
100,304.628,0.59633,0.37036,2.54869,1,0.99946,0.995,0.85855,0.60665,0.36225,2.59045,0.000102443,0.000102443,0.000102443
